# intercepty, interceptz, slopexy, slopexz
356.749503,  0.000000, -1.289205,  0.835110
356.749503,  0.000000, -2.767934, -0.569496
 44.218841,  0.000000, -4.157547,  0.415716
 44.218841,  0.000000,  2.904457,  1.372122
-525.940812,  0.000000, -0.309688, -0.410017
-525.940812,  0.000000,  1.114542,  1.494825
812.937349,  0.000000, -0.471576, -2.041709
812.937349,  0.000000, -0.727205, -2.137225
-660.206719,  0.000000,  1.743949,  1.694747
-660.206719,  0.000000,  1.477933, -0.158218
-25.750842,  0.000000, -1.231083,  0.612854
-25.750842,  0.000000,  0.115341, -1.345622
-412.747306,  0.000000,  0.340800,  0.582351
-412.747306,  0.000000, -5.281985, -0.060729
463.466952,  0.000000,  0.872751, -0.781760
463.466952,  0.000000,  2.999518, -0.476997
-109.005950,  0.000000,  0.906118,  1.347475
-109.005950,  0.000000,  5.339613, -0.399403
420.008123,  0.000000,  4.676006,  0.957135
420.008123,  0.000000,  0.513084,  0.199957
